rank,id,status,score,scoreLow,scoreHigh,exclusivity,placeCount,intensity,evidenceGrade,methodologyVersion
1,court-ordered-debt-queue,mock,100,100,100,1.0000,0.0000,4.0000,D,0.2
2,guarana-soda,mock,97,97,98,0.9432,0.3000,4.0000,A,0.2
3,three-pin-plug,mock,95,95,96,0.9121,0.5000,3.5000,A,0.2
4,cheese-bread,mock,94,93,95,0.8787,0.7500,4.0000,A,0.2
5,jabuticaba,mock,94,94,94,0.8787,0.7500,4.0000,A,0.2
6,paperless-dre-voting,mock,94,92,96,0.8787,0.7500,4.0000,A,0.2
7,tax-id-on-receipts,mock,89,89,89,0.8498,1.0000,2.0000,A,0.2
8,window-safety-nets,mock,89,88,90,0.8392,1.1000,2.5000,B,0.2
9,service-elevator,mock,87,84,89,0.8103,1.4000,2.5000,A,0.2
10,electoral-court,mock,85,85,85,0.7620,2.0000,3.0000,C,0.2
11,priority-line,mock,84,82,87,0.7693,1.9000,2.5000,A,0.2
12,corner-pharmacy,mock,80,80,80,0.7286,2.5000,2.0000,C,0.2
13,jeitinho,mock,80,76,83,0.7286,2.5000,2.0000,D,0.2
14,caipirinha,mock,77,77,77,0.5363,7.5000,4.0000,B,0.2
15,residential-doorman,mock,77,77,77,0.6943,3.1000,2.0000,A,0.2
16,feijoada,mock,76,76,76,0.6741,3.5000,2.0000,B,0.2
17,electric-shower,mock,71,71,71,0.5363,7.5000,3.0000,B,0.2
18,acai-bowl,mock,68,68,68,0.5723,6.2000,2.0000,A,0.2
19,capybara,mock,67,64,70,0.5928,5.5500,1.5000,A,0.2
20,caramel-mutt,mock,66,63,70,0.5846,5.8000,1.5000,A,0.2
21,free-electoral-airtime,mock,64,42,100,0.4804,10.0000,2.5000,C,0.2
22,mandatory-voting,mock,56,55,56,0.4936,9.3500,1.0000,A,0.2
23,thirteenth-salary,mock,51,51,51,0.4361,12.5000,1.0000,B,0.2
24,carnival,mock,38,38,38,0.0000,106.0000,3.0000,A,0.2
25,motorcycle-courier,mock,31,31,31,0.2062,38.0000,1.0000,A,0.2
26,refrigerator,mock,0,0,0,0.0000,146.0000,0.0000,A,0.2
