rank,id,status,score,scoreLow,scoreHigh,exclusivity,placeCount,intensity,evidenceGrade,methodologyVersion
1,caipirinha,mock,100,100,100,1.0000,0.0000,4.0000,B,0.1
2,court-ordered-debt-queue,mock,100,100,100,1.0000,0.0000,4.0000,D,0.1
3,cheese-bread,mock,96,95,98,0.9271,0.4000,4.0000,A,0.1
4,three-pin-plug,mock,95,95,96,0.9121,0.5000,3.5000,A,0.1
5,jabuticaba,mock,94,94,94,0.8787,0.7500,4.0000,A,0.1
6,paperless-dre-voting,mock,94,92,96,0.8787,0.7500,4.0000,A,0.1
7,acai-bowl,mock,89,89,89,0.8292,1.2000,3.0000,A,0.1
8,tax-id-on-receipts,mock,89,89,89,0.8498,1.0000,2.0000,A,0.1
9,window-safety-nets,mock,89,88,90,0.8392,1.1000,2.5000,B,0.1
10,service-elevator,mock,87,84,89,0.8103,1.4000,2.5000,A,0.1
11,electoral-court,mock,85,85,85,0.7620,2.0000,3.0000,C,0.1
12,corner-pharmacy,mock,80,80,80,0.7286,2.5000,2.0000,C,0.1
13,jeitinho,mock,80,76,83,0.7286,2.5000,2.0000,D,0.1
14,residential-doorman,mock,77,77,77,0.6943,3.1000,2.0000,A,0.1
15,feijoada,mock,76,76,76,0.6741,3.5000,2.0000,B,0.1
16,electric-shower,mock,71,71,71,0.5363,7.5000,3.0000,B,0.1
17,capybara,mock,67,64,70,0.5928,5.5500,1.5000,A,0.1
18,caramel-mutt,mock,66,63,70,0.5846,5.8000,1.5000,A,0.1
19,free-electoral-airtime,mock,64,42,100,0.4804,10.0000,2.5000,C,0.1
20,mandatory-voting,mock,56,55,56,0.4936,9.3500,1.0000,A,0.1
21,thirteenth-salary,mock,51,51,51,0.4361,12.5000,1.0000,B,0.1
22,carnival,mock,38,38,38,0.0000,110.0000,3.0000,A,0.1
23,motorcycle-courier,mock,30,30,30,0.1953,40.0000,1.0000,A,0.1
24,refrigerator,mock,0,0,0,0.0000,150.0000,0.0000,A,0.1
